,borough,day_lenght,enrollment,white,black,hispanic,asian,math,reading,writing,final,participation
o3 - o107,manhattan,0.291296296,589.1568627,0.101862745,0.254607843,0.514313725,0.107352941,455.8876404,444.9325843,439.3146067,1146.846154,0.710111111
o108 - o117,staten island,0.285694444,1846,0.46,0.168,0.253,0.107,486.2,478.5,474.3,1439,0.675
o118 - o235,bronx,0.295603814,560.8592593,0.049777778,0.258296296,0.615555556,0.064518519,416.173913,410.8434783,405.0347826,1041.808824,0.586166667
o236 - o253,queens,0.292976466,979.7446237,0.131505376,0.219973118,0.392392473,0.233691756,469.7432127,448.4983032,445.9615385,1218.243728,0.709276018
o254 - o374,brooklyn,0.288119835,698.9243697,0.071680672,0.560672269,0.280840336,0.073109244,416.4036697,410.7614679,403.0917431,1108.247934,0.602982456
o375 - o436,,0.291354167,1018.822581,0.089677419,0.356612903,0.296451613,0.23016129,455.1923077,438.1730769,433.9230769,1113.209677,0.673846154
,,,,,,,,,,,,
,,,,,,,,,,,,
589.1568627,,,,,,,,,,,,
60094,675.2134831,,,,,,,,,,,
,,,,,,,,,,,,
,60094,,,,,,,,,,,
,18460,,,,,,,,,,,
,58784,,,,,,,,,,,
,80099,,,,,,,,,,,
,83172,,,,,,,,,,,