school_id,school_name,borough,building_code,street_address,city,State,zip_code,latitude,longitude,number,start_time,end_time,day_length,enrollment,percent_white,percent_black,percent_hispanic,percent_asian,math_avg,reading_avg,writing_avg,final_sat,percent_tested,tested
02M260,Clinton School Writers and Artists,Manhattan,M933,425 West 33rd Street,1,NY,10001,40.75321,-73.99786,212-695-9114,,,,,,,,,,,,,,
06M211,Inwood Early College for Health and Information Technologies,Manhattan,M052,650 Academy Street,1,NY,10002,40.86605,-73.92486,718-935-3660  ,8:30,15:00,6:30,87,0.03,0.22,0.68,0.05,,,,,,
01M539,"New Explorations into Science, Technology and Math High School",Manhattan,M022,111 Columbia Street,1,NY,10002,40.71873,-73.97943,212-677-5190,8:15,16:00,7:45,1735,0.29,0.13,0.18,0.39,657,601,601,1859,0.91,91
02M294,Essex Street Academy,Manhattan,M445,350 Grand Street,1,NY,10002,40.71687,-73.98953,212-475-4773,8:00,14:45,6:45,358,0.12,0.39,0.41,0.06,395,411,387,1193,0.79,78.9
02M308,Lower Manhattan Arts Academy,Manhattan,M445,350 Grand Street,1,NY,10002,40.71687,-73.98953,212-505-0143,8:30,15:00,6:30,383,0.03,0.28,0.57,0.09,418,428,415,1261,0.65,65.1
02M545,High School for Dual Language and Asian Studies,Manhattan,M445,350 Grand Street,1,NY,10002,40.71687,-73.98953,212-475-4097,8:00,15:35,7:35,416,0.02,0.03,0.06,0.89,613,453,463,1529,0.96,95.9
01M292,Henry Street School for International Studies,Manhattan,M056,220 Henry Street,1,NY,10002,40.71376,-73.98526,212-406-9411,8:30,15:30,7:00,255,0.04,0.24,0.57,0.13,410,406,381,1197,0.6,59.7
01M696,Bard High School Early College,Manhattan,M097,525 East Houston Street,1,NY,10002,40.71896,-73.97607,212-995-8479,9:00,15:50,6:50,545,0.45,0.17,0.19,0.17,634,641,639,1914,0.71,70.8
02M305,Urban Assembly Academy of Government and Law,Manhattan,M445,350 Grand Street,1,NY,10002,40.71687,-73.98953,212-505-0745,8:32,15:45,7:13,329,0.03,0.42,0.49,0.06,389,395,381,1165,0.81,80.8
01M509,Marta Valle High School,Manhattan,M025,145 Stanton Street,1,NY,10002,40.72057,-73.98567,212-473-8152,8:00,15:30,7:30,363,0.03,0.4,0.51,0.06,438,413,394,1245,0.36,35.6
01M448,University Neighborhood High School,Manhattan,M446,200 Monroe Street,1,NY,10002,40.71233,-73.9848,212-962-4341,8:15,15:15,7:00,304,0.03,0.25,0.41,0.3,437,355,352,1144,0.7,69.9
02M543,New Design High School,Manhattan,M445,350 Grand Street,1,NY,10002,40.71687,-73.98953,212-475-4148,8:40,14:56,6:16,441,0.04,0.31,0.57,0.06,381,396,372,1149,0.74,73.7
02M298,Pace High School,Manhattan,M131,100 Hester Street,1,NY,10002,40.71641,-73.99268,212-334-4663,9:00,15:15,6:15,423,0.02,0.28,0.45,0.14,430,435,427,1292,0.88,87.8
02M420,High School for Health Professions and Human Services,Manhattan,M475,345 East 15th Street,1,NY,10003,40.73249,-73.98305,212-780-9175,9:00,15:45,6:45,1664,0.07,0.19,0.51,0.22,452,445,430,1327,0.87,86.9
02M399,High School for Language and Diplomacy,Manhattan,M460,40 Irving Place,1,NY,10003,40.73552,-73.9876,212-253-2480,8:00,15:30,7:30,437,0.06,0.2,0.4,0.31,446,433,411,1290,0.7,70.2
02M546,Academy for Software Engineering,Manhattan,M460,40 Irving Place,1,NY,10003,40.73552,-73.9876,212-253-3299,8:45,15:36,6:51,344,0.09,0.29,0.46,0.11,,,,0,,0
02M533,Union Square Academy for Health Sciences,Manhattan,M460,40 Irving Place,1,NY,10003,40.73552,-73.9876,212-253-3110,8:00,15:49,7:49,319,0.05,0.2,0.57,0.16,,,,0,,0
02M438,International High School at Union Square,Manhattan,M460,40 Irving Place,1,NY,10003,40.73552,-73.9876,212-533-2560,8:45,15:05,6:20,353,0.1,0.14,0.45,0.31,403,330,316,1049,0.53,53.2
02M407,Institute for Collaborative Education,Manhattan,M475,345 East 15th Street,1,NY,10003,40.73249,-73.98305,212-475-7972,8:00,15:00,7:00,482,0.57,0.14,0.15,0.06,501,550,541,1592,0.79,78.6
02M374,Gramercy Arts High School,Manhattan,M460,40 Irving Place,1,NY,10003,40.73552,-73.9876,212-253-7076,8:15,15:30,7:15,530,0.06,0.43,0.44,0.04,446,459,455,1360,0.8,79.6
02M551,Urban Assembly New York Harbor School,Manhattan,M877,550 Wheeler Avenue,1,NY,10004,40.69079,-74.01976,212-458-0800,8:15,16:00,7:45,447,0.19,0.24,0.52,0.03,446,453,428,1327,0.79,78.8
02M580,Richard R. Green High School of Teaching,Manhattan,M282,26 Broadway,1,NY,10004,40.70523,-74.01332,646-826-8174,8:30,15:20,6:50,566,0.03,0.31,0.59,0.06,411,415,409,1235,0.6,60
02M418,Millennium High School,Manhattan,M824,75 Broad Street,1,NY,10004,40.70492,-74.01151,212-825-9008,8:30,15:00,6:30,659,0.33,0.08,0.18,0.38,577,560,567,1704,0.94,94
02M316,Urban Assembly School of Business for Young Women,Manhattan,M282,26 Broadway,1,NY,10004,40.70523,-74.01332,212-668-0169,8:35,15:30,6:55,405,0.02,0.53,0.39,0.04,418,420,417,1255,0.75,75
02M489,High School of Economics and Finance,Manhattan,M833,100 Trinity Place,1,NY,10006,40.70922,-74.01203,212-346-0708,8:30,15:30,7:00,796,0.07,0.23,0.47,0.22,469,442,447,1358,0.67,66.8
02M425,Leadership and Public Service High School,Manhattan,M894,90 Trinity Place,1,NY,10006,40.70915,-74.01208,212-346-0007,8:30,14:45,6:15,699,0.04,0.28,0.62,0.04,390,396,392,1178,0.55,54.9
01M450,East Side Community School,Manhattan,M060,420 East 12th Street,1,NY,10009,40.72978,-73.98304,212-460-8467,8:30,15:30,7:00,666,0.08,0.22,0.58,0.09,454,428,445,1327,0.85,85.2
02M411,Baruch College Campus High School,Manhattan,M874,55 East 25th Street,1,NY,10010,40.74405,-73.99148,212-683-7440,8:20,14:50,6:30,451,0.23,0.06,0.15,0.55,592,526,531,1649,0.94,94.3
02M047,47 American Sign Language and English Secondary School,Manhattan,M047,223 East 23rd Street,1,NY,10010,40.7386,-73.98251,917-326-6668,8:45,15:45,7:00,169,0.05,0.28,0.65,0.01,,,,0,0.48,48.3
02M413,School of the Future High School,Manhattan,M660,127 East 22nd Street,1,NY,10010,40.73895,-73.98541,212-475-8086,8:35,15:10,6:35,713,0.36,0.12,0.3,0.14,534,533,522,1589,0.9,89.9
02M439,Manhattan Village Academy,Manhattan,M873,43 West 22nd Street,1,NY,10010,40.74149,-73.99145,212-242-8752,8:00,15:20,7:20,415,0.07,0.1,0.67,0.07,522,479,510,1511,0.99,98.8
02M422,Quest to Learn,Manhattan,M440,351 West 18th Street,1,NY,10011,40.74289,-74.00213,212-488-3645,9:00,15:50,6:50,564,0.24,0.22,0.42,0.09,,,,0,,0
02M412,NYC Lab School for Collaborative Studies,Manhattan,M070,333 West 17th Street,1,NY,10011,40.7421,-74.00207,212-691-6119,8:00,14:50,6:50,587,0.46,0.06,0.16,0.28,595,550,555,1700,0.8,79.8
02M534,Harvest Collegiate High School,Manhattan,M883,34 West 14th Street,1,NY,10011,40.73676,-73.99551,212-242-3384,8:20,15:17,6:57,333,0.17,0.22,0.52,0.07,,,,0,,0
02M437,Hudson High School of Learning Technologies,Manhattan,M440,351 West 18th Street,1,NY,10011,40.74289,-74.00213,212-488-3330,8:45,15:30,6:45,483,0.03,0.29,0.59,0.06,378,407,388,1173,0.72,71.8
02M392,Manhattan Business Academy,Manhattan,M440,351 West 18th Street,1,NY,10011,40.74289,-74.00213,212-647-1983,8:30,15:15,6:45,438,0.04,0.28,0.62,0.03,410,407,399,1216,0.7,69.7
02M605,Humanities Preparatory Academy,Manhattan,M440,351 West 18th Street,1,NY,10011,40.74289,-74.00213,212-929-4433,9:00,15:15,6:15,,,,,,,,,0,,0
02M419,Landmark High School,Manhattan,M440,351 West 18th Street,1,NY,10011,40.74289,-74.00213,212-647-7410,8:45,15:20,6:35,355,0.02,0.24,0.69,0.04,386,386,386,1158,0.31,30.6
02M600,High School of Fashion Industries,Manhattan,M600,225 West 24th Street,1,NY,10011,40.74511,-73.99591,212-255-1235,8:00,15:45,7:45,1770,0.04,0.36,0.54,0.05,433,442,427,1302,0.81,80.6
02M414,NYC Museum School,Manhattan,M070,333 West 17th Street,1,NY,10011,40.7421,-74.00207,212-675-6206,8:15,14:45,6:30,471,0.12,0.13,0.4,0.34,560,530,522,1612,0.9,90
02M615,Chelsea Career and Technical Education High School,Manhattan,M615,131 Avenue of the Americas,1,NY,10013,40.72435,-74.00476,212-925-1080,8:30,16:00,7:30,439,0.03,0.29,0.57,0.08,439,418,400,1257,0.8,80.4
02M376,NYC iSchool,Manhattan,M615,131 Avenue of the Americas,1,NY,10013,40.72435,-74.00476,917-237-7300,9:00,16:00,7:00,442,0.29,0.2,0.4,0.09,518,515,503,1536,0.96,96
02M432,Murray Hill Academy,Manhattan,M620,111 East 33rd Street,1,NY,10016,40.74611,-73.98101,212-696-0195,8:00,14:58,6:58,,,,,,,,,0,,0
02M427,Manhattan Academy for Arts and Language,Manhattan,M620,111 East 33rd Street,1,NY,10016,40.74611,-73.98101,212-576-0502,9:00,15:40,6:40,334,0.02,0.05,0.91,0.02,350,334,321,1005,0.46,46.1
02M500,Unity Center for Urban Technologies,Manhattan,M620,111 East 33rd Street,1,NY,10016,40.74611,-73.98101,212-576-0530,8:15,16:00,7:45,284,0.05,0.28,0.59,0.06,375,385,387,1147,0.63,62.8
02M393,Business of Sports School,Manhattan,M625,439 West 49th Street,1,NY,10019,40.76336,-73.99051,212-246-2183,8:50,15:30,6:40,449,0.02,0.35,0.6,0.02,395,386,371,1152,0.68,67.5
02M303,Facing History School,Manhattan,M535,525 West 50th Street,1,NY,10019,40.76503,-73.99252,212-757-2680,8:35,15:00,6:25,406,0.02,0.27,0.68,0.02,366,356,371,1093,0.57,57.3
02M296,High School of Hospitality Management,Manhattan,M535,525 West 50th Street,1,NY,10019,40.76503,-73.99252,212-586-1819,9:00,15:45,6:45,424,0.02,0.21,0.71,0.05,451,433,424,1308,0.56,56.2
02M300,Urban Assembly School of Design and Construction,Manhattan,M535,525 West 50th Street,1,NY,10019,40.76503,-73.99252,212-586-0981,8:00,15:15,7:15,414,0.03,0.3,0.59,0.06,445,417,403,1265,0.61,60.6
02M135,Urban Assembly School for Emergency Management,Manhattan,M625,439 West 49th Street,1,NY,10019,40.76336,-73.99051,212-245-4670,8:41,15:31,6:50,193,0.03,0.29,0.62,0.06,,,,0,,0
02M400,High School for Environmental Studies,Manhattan,M834,444 West 56th Street,1,NY,10019,40.76776,-73.98751,212-262-8113,8:15,15:00,6:45,1301,0.07,0.15,0.63,0.15,469,454,444,1367,0.74,74
02M630,Art and Design High School,Manhattan,M488,231-249 East 56th Street,1,NY,10019,40.7654,-73.98177,212-752-4340,8:30,16:00,7:30,1476,0.11,0.24,0.55,0.09,455,475,458,1388,0.7,70.1
02M542,Manhattan Bridges High School,Manhattan,M535,525 West 50th Street,1,NY,10019,40.76503,-73.99252,212-757-5274,8:00,15:45,7:45,529,0,0,1,0,409,360,347,1116,0.84,84.4
02M507,Urban Assembly Gateway School for Technology,Manhattan,M625,439 West 49th Street,1,NY,10019,40.76336,-73.99051,212-246-1041,8:00,15:30,7:30,472,0.06,0.3,0.54,0.08,445,432,415,1292,0.78,78.4
02M288,Food and Finance High School,Manhattan,M535,525 West 50th Street,1,NY,10019,40.76503,-73.99252,212-586-2943,7:40,14:30,6:50,427,0.03,0.4,0.52,0.05,428,435,421,1284,0.52,52
02M416,Eleanor Roosevelt High School,Manhattan,M855,411 East 76th Street,1,NY,10021,40.77012,-73.95338,212-772-1220,8:30,15:30,7:00,541,0.61,0.04,0.11,0.2,641,617,631,1889,0.86,86
03M299,"High School for Arts, Imagination, and Inquiry",Manhattan,M490,122 Amsterdam Avenue,1,NY,10023,40.7743,-73.98482,212-799-4064,8:45,15:26,6:41,447,0.01,0.39,0.59,0,375,389,380,1144,0.59,58.8
03M307,Urban Assembly School for Media Studies,Manhattan,M490,122 Amsterdam Avenue,1,NY,10023,40.7743,-73.98482,212-501-1110,9:00,15:15,6:15,412,0.02,0.36,0.58,0.02,392,419,396,1207,0.5,49.5
03M479,Beacon High School,Manhattan,M837,227-243 West 61st Street,1,NY,10023,40.77216,-73.9878,212-245-2807,8:00,15:00,7:00,1285,0.52,0.14,0.24,0.09,583,586,595,1764,0.83,82.8
03M485,Fiorello H. LaGuardia High School of Music and Art and Performing Arts,Manhattan,M485,100 Amsterdam Avenue,1,NY,10023,40.77367,-73.98527,212-496-0700,8:00,16:00,8:00,2635,0.45,0.11,0.19,0.19,592,592,597,1781,0.89,88.5
03M494,High School of Arts and Technology,Manhattan,M490,122 Amsterdam Avenue,1,NY,10023,40.7743,-73.98482,212-501-1198,8:00,14:45,6:45,594,0.03,0.33,0.59,0.04,421,428,406,1255,0.44,44.4
03M541,Manhattan / Hunter Science High School,Manhattan,M490,122 Amsterdam Avenue,1,NY,10023,40.7743,-73.98482,212-501-1235,8:00,14:30,6:30,451,0.13,0.16,0.38,0.26,581,531,535,1647,0.97,97.2
03M859,Special Music School,Manhattan,M490,122 Amsterdam Avenue,1,NY,10023,40.7743,-73.98482,212-501-3318,8:00,14:30,6:30,231,0.29,0.22,0.15,0.19,,,,0,,0
03M492,"High School for Law, Advocacy, and Community Justice",Manhattan,M490,122 Amsterdam Avenue,1,NY,10023,40.7743,-73.98482,212-501-1201,8:00,14:45,6:45,510,0.02,0.42,0.53,0.02,415,417,402,1234,0.61,60.5
03M402,Urban Assembly School for Green Careers,Manhattan,M470,145 West 84th Street,1,NY,10024,40.78574,-73.97442,212-787-1189,8:30,15:30,7:00,353,0.03,0.23,0.72,0.01,393,371,378,1142,0.6,60
03M417,Frank McCourt High School,Manhattan,M470,145 West 84th Street,1,NY,10024,40.78574,-73.97442,212-362-2015,8:40,15:00,6:20,387,0.32,0.16,0.4,0.09,489,491,500,1480,0.89,89.1
03M403,Global Learning Collaborative,Manhattan,M470,145 West 84th Street,1,NY,10024,40.78574,-73.97442,212-877-1103,8:30,15:30,7:00,496,0.05,0.25,0.66,0.02,406,407,413,1226,0.59,59.4
03M415,Wadleigh Secondary School for the Performing and Visual Arts,Manhattan,M088,215 West 114th Street,1,NY,10026,40.80217,-73.95401,212-749-5800,8:00,15:45,7:45,445,0.01,0.52,0.44,0.02,381,401,392,1174,0.53,52.6
03M860,Frederick Douglass Academy II Secondary School,Manhattan,M088,215 West 114th Street,1,NY,10026,40.80217,-73.95401,212-865-9260,8:00,15:00,7:00,411,0.02,0.68,0.26,0.02,390,384,373,1147,0.64,63.8
05M362,Columbia Secondary School,Manhattan,M125,425 West 123rd Street,1,NY,10027,40.81092,-73.95693,212-666-1278,8:00,16:00,8:00,659,0.15,0.22,0.48,0.14,583,561,546,1690,0.88,88.2
05M367,Academy for Social Action (College Board),Manhattan,M043,509 West 129th Street,1,NY,10027,40.81523,-73.9552,212-234-3102,8:35,15:45,7:10,234,0.03,0.47,0.49,0.01,357,349,365,1071,0.54,54
05M369,Urban Assembly School for the Performing Arts,Manhattan,M043,509 West 129th Street,1,NY,10027,40.81523,-73.9552,212-234-4631,8:15,15:15,7:00,358,0.01,0.52,0.43,0.01,379,399,388,1166,0.77,76.7
04M680,Heritage School,Manhattan,M107,1680 Lexington Avenue,1,NY,10029,40.79188,-73.94659,212-828-2858,8:30,15:39,7:09,322,0.02,0.32,0.64,0.01,385,380,370,1135,0.57,56.8
04M555,Central Park East High School,Manhattan,M013,1573 Madison Avenue,1,NY,10029,40.79368,-73.94942,212-860-5929,8:30,15:20,6:50,466,0.04,0.25,0.63,0.07,483,468,439,1390,0.98,97.9
04M495,Park East High School,Manhattan,M495,230 East 105th Street,1,NY,10029,40.79056,-73.94445,212-831-1517,8:45,15:15,6:30,413,0.02,0.28,0.64,0.05,429,433,435,1297,0.9,89.6
04M610,Young Women's Leadership School,Manhattan,M895,105 East 106th Street,1,NY,10029,40.79271,-73.9473,212-289-7593,8:45,15:15,6:30,480,0.03,0.28,0.57,0.09,478,465,472,1415,1,100
04M435,Manhattan Center for Science and Mathematics,Manhattan,M435,260 Pleasant Avenue,1,NY,10029,40.79374,-73.93408,212-876-4639,8:15,14:40,6:25,1603,0.04,0.21,0.54,0.19,556,505,495,1556,0.88,87.6
04M372,Esperanza Preparatory Academy,Manhattan,M117,240 East 109th Street,1,NY,10029,40.79307,-73.94236,212-722-6507,8:00,15:00,7:00,507,0.02,0.13,0.83,0.01,,,,0,,0
05M304,Mott Hall High School,Manhattan,M136,6 Edgecombe Avenue,1,NY,10030,40.81736,-73.94771,212-694-6020,8:00,15:30,7:30,428,0.01,0.38,0.59,0.01,416,445,440,1301,0.37,36.9
05M670,Thurgood Marshall Academy for Learning and Social Change,Manhattan,M970,200-214 West 135th Street,1,NY,10030,40.81536,-73.9439,212-283-8055,8:30,15:00,6:30,561,0.01,0.78,0.2,0.01,402,394,400,1196,0.85,84.7
05M692,"High School for Mathematics, Science, and Engineering at City College",Manhattan,M812,240 Convent Avenue,1,NY,10031,40.82112,-73.94885,212-281-6490,8:00,15:35,7:35,470,0.27,0.1,0.22,0.39,683,610,596,1889,0.93,92.6
06M540,A. Philip Randolph Campus High School,Manhattan,M540,443 West 135th Street,1,NY,10031,40.81832,-73.95061,212-926-0113,8:00,14:20,6:20,1354,0.02,0.32,0.6,0.05,459,453,447,1359,0.74,74
06M552,Gregorio Luperon High School for Science and Mathematics,Manhattan,M876,501 West 165th Street,1,NY,10032,40.83803,-73.93837,212-928-1202,8:00,15:30,7:30,504,0,0,1,0,383,355,352,1090,0.71,71
06M346,Community Health Academy of the Heights,Manhattan,M814,504 West 158th Street,1,NY,10032,40.83356,-73.9418,212-342-6600,8:15,15:00,6:45,629,0.03,0.05,0.92,0,387,389,385,1161,0.55,55.3
06M348,Washington Heights Expeditionary Learning School,Manhattan,M143,511 West 182nd Street,1,NY,10033,40.84888,-73.93081,212-781-0524,8:00,15:00,7:00,705,0.01,0.04,0.95,0,443,423,434,1300,0.87,87
06M423,High School for Excellence and Innovation,Manhattan,M052,650 Academy Street,1,NY,10034,40.86605,-73.92486,212-569-1022,8:45,15:30,6:45,,,,,,,,,0,,0
05M157,Urban Assembly School for Global Commerce,Manhattan,M501,2005 Madison Avenue,1,NY,10035,40.80734,-73.93943,212-831-5201,8:10,15:15,7:05,164,0.01,0.44,0.49,0.02,,,,0,,0
04M409,Coalition School for Social Change,Manhattan,M045,2351 1st Avenue,1,NY,10035,40.79887,-73.93337,212-831-5153,8:45,15:30,6:45,283,0.04,0.41,0.5,0.04,344,368,367,1079,0.41,40.5
02M531,Repertory Company High School for Theatre Arts,Manhattan,M896,123 West 43rd Street,1,NY,10036,40.75594,-73.98457,212-382-1875,8:15,15:30,7:15,246,0.09,0.37,0.5,0.02,425,451,458,1334,0.9,89.5
02M408,Professional Performing Arts High School,Manhattan,M017,328 West 48th Street,1,NY,10036,40.76143,-73.98802,212-247-8652,8:15,15:30,7:15,536,0.43,0.26,0.22,0.03,496,520,516,1532,0.72,72.2
02M529,Jacqueline Kennedy Onassis High School,Manhattan,M486,120 West 46th Street,1,NY,10036,40.75776,-73.98319,212-391-0041,8:00,15:00,7:00,676,0.04,0.21,0.7,0.04,418,422,415,1255,0.54,53.8
02M280,Manhattan Early College School for Advertising,Manhattan,M520,411 Pearl Street,1,NY,10038,40.71068,-74.00081,718-935-3477  ,8:30,15:45,7:15,97,0.16,0.32,0.43,0.07,,,,0,,0
02M520,Murry Bergtraum High School for Business Careers,Manhattan,M520,411 Pearl Street,1,NY,10038,40.71068,-74.00081,212-964-9610,8:00,15:00,7:00,971,0.03,0.46,0.41,0.09,418,415,398,1231,0.44,44.3
02M282,Urban Assembly Maker Academy,Manhattan,M520,411 Pearl Street,1,NY,10038,40.70934,-74.0053,718-935-3442,9:00,15:45,6:45,103,0.1,0.24,0.46,0.11,,,,0,,0
02M139,Stephen T. Mather Building Arts and Craftsmanship High School,Manhattan,M520,411 Pearl Street,1,NY,10038,40.71068,-74.00081,212-225-0998,9:10,15:30,6:20,193,0.09,0.25,0.61,0.04,,,,0,,0
05M499,Frederick Douglass Academy,Manhattan,M010,2581 7th Avenue,1,NY,10039,40.82431,-73.93698,212-491-4107,8:00,15:00,7:00,1428,0.01,0.7,0.23,0.02,463,452,450,1365,0.65,65.1
06M463,High School for Media and Communications,Manhattan,M465,549 Audubon Avenue,1,NY,10040,40.85594,-73.92703,212-927-1841,8:00,15:45,7:45,479,0.01,0.14,0.83,0.02,378,381,383,1142,0.33,33
06M462,College Academy,Manhattan,M465,549 Audubon Avenue,1,NY,10040,40.85594,-73.92703,212-927-1841,8:00,15:45,7:45,491,0.01,0.09,0.89,0,367,377,363,1107,0.42,41.9
06M467,High School for Law and Public Service,Manhattan,M465,549 Audubon Avenue,1,NY,10040,40.85594,-73.92703,212-342-6130,8:00,15:45,7:45,671,0.02,0.17,0.81,0,401,394,381,1176,0.44,44.1
06M293,City College Academy of the Arts,Manhattan,M218,4600 Broadway,1,NY,10040,40.86111,-73.93045,212-567-3164,8:15,16:00,7:45,587,0.01,0.04,0.94,0.01,495,445,450,1390,0.95,95.3
06M468,High School for Health Careers and Sciences,Manhattan,M465,549 Audubon Avenue,1,NY,10040,40.85594,-73.92703,212-927-1841,8:00,15:45,7:45,605,0.02,0.16,0.8,0.01,374,385,389,1148,0.56,56.2
02M459,Manhattan International High School,Manhattan,M480,317 East 67th Street,1,NY,10065,40.76545,-73.96021,212-517-6728,8:45,15:05,6:20,343,0.12,0.17,0.41,0.29,438,358,382,1178,0.59,58.6
02M519,Talent Unlimited High School,Manhattan,M480,317 East 67th Street,1,NY,10065,40.76545,-73.96021,212-737-1530,8:10,15:20,7:10,506,0.2,0.33,0.4,0.05,485,498,496,1479,0.89,89.3
02M449,Vanguard High School,Manhattan,M480,317 East 67th Street,1,NY,10065,40.76545,-73.96021,212-517-5175,8:00,15:00,7:00,486,0.05,0.27,0.57,0.08,431,409,396,1236,0.64,63.8
02M655,Life Sciences Secondary School,Manhattan,M645,320 East 96th Street,1,NY,10128,40.78364,-73.94574,212-348-1694,8:00,15:00,7:00,697,0.03,0.28,0.62,0.04,435,440,425,1300,0.63,63
02M475,Stuyvesant High School,Manhattan,M477,345 Chambers Street,1,NY,10282,40.71775,-74.01405,212-312-4800,8:00,15:30,7:30,3296,0.2,0.01,0.03,0.73,754,697,693,2144,0.97,97.4
31R600,Ralph R. McKee Career and Technical Education High School,Staten_Island,R600,290 St Marks Place,2,NY,10301,40.64274,-74.07871,718-420-2600,8:00,15:00,7:00,624,0.2,0.31,0.43,0.05,420,429,409,1258,0.38,38
